City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Elat,IL,76.84,overcast clouds,29.5581,34.9482,Club Hotel Eilat
2,Rikitea,PF,77.41,few clouds,-23.1203,-134.9692,People ThankYou
6,Atuona,PF,79.07,clear sky,-9.8,-139.0333,Villa Enata
10,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
11,Isangel,VU,79.16,broken clouds,-19.55,169.2667,Tanna Lodge
14,Saint Andrews,US,88.9,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
17,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Harper,LR,79.77,overcast clouds,4.375,-7.7169,Screensaver
19,Garowe,SO,81.14,broken clouds,8.4054,48.4845,Curubo Hotel
24,Mahbubnagar,IN,84.02,scattered clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
33,Logansport,US,75.81,broken clouds,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
35,Wattegama,LK,76.53,broken clouds,6.7989,81.4808,
36,Lompoc,US,77.56,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
41,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
44,Tabuk,PH,75.45,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
51,Avera,US,89.65,broken clouds,33.194,-82.5271,
52,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
58,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
62,Sao Jose Da Coroa Grande,BR,78.64,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
71,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
73,Umm Kaddadah,SD,82.65,few clouds,13.6017,26.6876,
77,Faanui,PF,80.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Ben Tre,VN,75.94,overcast clouds,10.2333,106.3833,bentre kiwi oasis hotel company ltd
82,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
84,Bandarbeyla,SO,83.08,overcast clouds,9.4942,50.8122,JABIR HOTEL
