City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,100,9.22,overcast clouds
1,Elat,IL,29.5581,34.9482,76.84,38,100,9.22,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,77.41,73,19,18.72,few clouds
3,Tilichiki,RU,60.4667,166.1,34.74,92,100,3.4,overcast clouds
4,Areosa,PT,41.7178,-8.8571,61.92,93,37,14.92,light rain
5,Severo-Kurilsk,RU,50.6789,156.125,39.15,90,70,9.53,broken clouds
6,Atuona,PF,-9.8,-139.0333,79.07,66,9,15.28,clear sky
7,New Norfolk,AU,-42.7826,147.0587,50.88,81,98,5.99,overcast clouds
8,Torbay,CA,47.6666,-52.7314,45.28,83,75,8.05,broken clouds
9,Kruisfontein,ZA,-34.0033,24.7314,62.89,32,0,11.03,clear sky
10,Nouadhibou,MR,20.931,-17.0347,78.78,36,100,21.85,overcast clouds
11,Isangel,VU,-19.55,169.2667,79.16,71,53,15.7,broken clouds
12,Port Alfred,ZA,-33.5906,26.891,70.57,51,0,10.25,clear sky
13,Busselton,AU,-33.65,115.3333,58.78,65,74,10.02,broken clouds
14,Saint Andrews,US,34.0454,-81.1293,88.9,49,59,1.01,broken clouds
15,Bluff,NZ,-46.6,168.3333,54.81,83,100,16.58,light rain
16,Bredasdorp,ZA,-34.5322,20.0403,65.55,25,45,5.99,scattered clouds
17,Vaini,TO,-21.2,-175.2,77.16,65,75,6.91,broken clouds
18,Harper,LR,4.375,-7.7169,79.77,83,92,7.9,overcast clouds
19,Garowe,SO,8.4054,48.4845,81.14,58,56,25.32,broken clouds
20,Korla,CN,41.7597,86.1469,69.01,33,93,10.4,overcast clouds
21,Ahipara,NZ,-35.1667,173.1667,68.97,76,94,12.39,overcast clouds
22,Borogontsy,RU,62.6683,131.1683,40.91,63,99,6.42,overcast clouds
23,Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,10.36,few clouds
24,Mahbubnagar,IN,16.7333,77.9833,84.02,65,43,7.76,scattered clouds
25,Vestmannaeyjar,IS,63.4427,-20.2734,49.48,76,31,21.07,scattered clouds
26,Mosquera,CO,4.7059,-74.2302,64.49,55,40,9.22,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,54.48,86,100,1.59,overcast clouds
